"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1728046543901503550","https://twitter.com/hi_gaganthakur/status/1728046543901503550","@thevirgilbrew I am 34 and I am lost

I am following you but I want to move faster","2023-11-24 13:42 +0000","8.0","3.0","0.375","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728046227088961991","https://twitter.com/hi_gaganthakur/status/1728046227088961991","@Char1ieBennett Knowledge is a curse if not executed","2023-11-24 13:41 +0000","5.0","1.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728046039297388696","https://twitter.com/hi_gaganthakur/status/1728046039297388696","@ambika_sarawgi keep rocking 🚀","2023-11-24 13:40 +0000","14.0","3.0","0.21428571428571427","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045938730488135","https://twitter.com/hi_gaganthakur/status/1728045938730488135","@MindMineMao Can’t agree more

Being present requires a lot of efforts","2023-11-24 13:40 +0000","12.0","4.0","0.3333333333333333","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045773911204062","https://twitter.com/hi_gaganthakur/status/1728045773911204062","@ShronLande Those who stay will win","2023-11-24 13:39 +0000","58.0","7.0","0.1206896551724138","0.0","1.0","4.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045591224263097","https://twitter.com/hi_gaganthakur/status/1728045591224263097","@WritesAnwar Awesome","2023-11-24 13:39 +0000","6.0","1.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045517366534311","https://twitter.com/hi_gaganthakur/status/1728045517366534311","@ItsKaiHensler https://t.co/z0UmZrjRxt","2023-11-24 13:38 +0000","45.0","2.0","0.044444444444444446","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045355361558989","https://twitter.com/hi_gaganthakur/status/1728045355361558989","@drtanvwriteups Either we don’t start or we start and never finish","2023-11-24 13:38 +0000","94.0","1.0","0.010638297872340425","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045240551084482","https://twitter.com/hi_gaganthakur/status/1728045240551084482","@ImSehej Many times 😂","2023-11-24 13:37 +0000","11.0","2.0","0.18181818181818182","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045173479711178","https://twitter.com/hi_gaganthakur/status/1728045173479711178","@itsEshana Me neither 😅","2023-11-24 13:37 +0000","9.0","1.0","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1728045067661717596","https://twitter.com/hi_gaganthakur/status/1728045067661717596","@Dwriteway Absolutely, biggest motivation","2023-11-24 13:37 +0000","22.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1727924696061247687","https://twitter.com/hi_gaganthakur/status/1727924696061247687","Finishing what you start is sexy","2023-11-24 05:38 +0000","482.0","66.0","0.13692946058091288","0.0","9.0","25.0","11.0","0.0","0.0","21.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722984538953904373","https://twitter.com/hi_gaganthakur/status/1722984538953904373","@_buildspace Nagpur + India","2023-11-10 14:28 +0000","290.0","6.0","0.020689655172413793","0.0","0.0","5.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722488076025393554","https://twitter.com/hi_gaganthakur/status/1722488076025393554","If you had the chance to share your life's wisdom with your kids.

What's the most valuable lesson you'd impart to them?","2023-11-09 05:35 +0000","553.0","44.0","0.07956600361663653","0.0","13.0","18.0","5.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1722306590307738023","https://twitter.com/hi_gaganthakur/status/1722306590307738023","My hidden treasure https://t.co/zYpVpS9vJI","2023-11-08 17:34 +0000","1023.0","135.0","0.13196480938416422","0.0","20.0","54.0","12.0","0.0","0.0","17.0","0.0","0","0","0","0","0","32","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1721218348229546258","https://twitter.com/hi_gaganthakur/status/1721218348229546258","@Dwriteway Yes","2023-11-05 17:30 +0000","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1721201028215824840","https://twitter.com/hi_gaganthakur/status/1721201028215824840","I send daily emails

I am not an expert writer, but I still write every day.

Writing in public is much better than writing on Google Docs.","2023-11-05 16:21 +0000","430.0","41.0","0.09534883720930233","1.0","9.0","21.0","5.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1720839647205412916","https://twitter.com/hi_gaganthakur/status/1720839647205412916","Hop on calls with your target audience.

You will learn more than what you will learn from a high-paid course.

Don't wait for someone to teach you.

Ask your audience, and they will tell you the problem.

Now, build a product, solve their problem, and get paid.","2023-11-04 16:25 +0000","273.0","12.0","0.04395604395604396","0.0","3.0","8.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1720747276371382280","https://twitter.com/hi_gaganthakur/status/1720747276371382280","My wife is a superhuman.

I just do
- 9-5
- Daily Emails
- Client Work
- Content Creation

My Wife
- Cooks meal for us
- Send daughter to school
- Help her with homework
- Take care of the house 
- Keep us sane

Kudos to all the women out there.","2023-11-04 10:18 +0000","367.0","46.0","0.12534059945504086","0.0","5.0","21.0","7.0","0.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1720676055134941491","https://twitter.com/hi_gaganthakur/status/1720676055134941491","2 things to keep in mind while creating a lead magnet

- Identify a specific problem
- Solve the problem with your lead magnet

Don't create what you like

Create what your audience wants","2023-11-04 05:35 +0000","265.0","18.0","0.06792452830188679","0.0","4.0","12.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1720666780526674205","https://twitter.com/hi_gaganthakur/status/1720666780526674205","@NFT_GOD I needed this advice, I was wondering how to use this mew feature","2023-11-04 04:58 +0000","14.0","2.0","0.14285714285714285","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1720385404233195786","https://twitter.com/hi_gaganthakur/status/1720385404233195786","You can make money without spending a single $$

- Start building on Twitter
- Create some traffic
- Start a newsletter
- Start selling other people's product

You don't need money.

You need
- A mentor
- Willingness to lean","2023-11-03 10:20 +0000","351.0","35.0","0.09971509971509972","1.0","8.0","18.0","5.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
